Champion,Cooldowns,Difficulty,Conseils pour les matchs,Starting Items,Pictures
Cassiopeia,"Q 3.5, W 24-16, E .75, R 120-80",8,"Ce matchup dépend de la qualité de la Cass. Faites de votre mieux pour esquiver son Q poke. Vous ne pouvez jamais faire de Q3 sur elle, sinon elle va vous ult. Son W vous empêche de Q3'ing, E'ing, et de retourner à votre E. Utilisez votre E pour esquiver sa Q si nécessaire. Elle est très sensible aux ganks, alors essayez de geler la vague à votre tour et appelez la jungle à l'aide. Ne vous en prenez à elle que si elle rate sa Q en essayant de vous harceler. L'ulting à portée maximale est mieux que le Q3'ing car elle ne peut pas réagir à moins qu'elle ne flashe.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Cassiopeia_0.jpg
Chogath,"Q 6, W 13-9, E 8-4, R 80",4,"Tank Cho'Gath est beaucoup plus facile que AP Cho'Gath. Il est très sensible aux ganks, alors essayez de geler la vague à votre tour et appelez la jungle à l'aide. Restez toujours en mouvement lorsqu'il vous réduit au silence afin d'esquiver sa Q. Utilisez votre W lorsqu'il vous Ws. Esquivez également son E poke. Si jamais vous voyez son ult, vous pouvez gagner le all-in. S'il a l'ult, n'essayez pas de l'all-in.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Chogath_0.jpg
Corki,"P 240, Q 8, W 20-16, E 16, R 2",1,"Ce matchup est incroyablement facile. Son début de partie est à peu près inexistant. Essayez d'appâter son W, afin de pouvoir lui faire un all-in. La seule façon de perdre cette voie est de le laisser vous harceler librement ou de ne rien faire. Lorsqu'il a sa fusée "" Big One "", n'essayez pas d'échanger ou de faire un all-in avec lui. Essayez de l'esquiver, puis échangez","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Corki_0.jpg
Darius,"Q 9-5, W 5, E 24-14, R 120-80",9,"Ce matchup est incroyablement difficile, quelle que soit la façon dont vous le jouez. Un bon Darius gèlera la vague à sa tour et vous ne pourrez pas jouer le jeu. Si vous vous approchez, il se contentera de Ghost, vous écrasera et vous tuera à répétition. La seule chance que vous avez de survivre est de partir immédiatement en ult. Ne le laissez jamais 5 stacker son passif ou vous êtes mort ou très chunked. Gardez votre E pour quand il utilise Q pour esquiver le sweet spot. Prenez des échanges courts contre lui et faites de votre mieux pour kiter. Vous ne gagnerez jamais en 1v1 tant que vous n'aurez pas Shieldbow.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Darius_0.jpg
Diana,"Q 8-6, W 15-9, E 22-14, R 100-80",5,"Ce matchup est assez équilibré, à condition que vous puissiez esquiver son harcèlement Q. Elle est meilleure au début car elle a Hextech Alternator et sorc shoes. Dès que vous obtenez shieldbow, elle ne peut plus vous tirer dessus et vous prenez facilement le contrôle de la voie. Essayez toujours d'y aller quand elle rate sa Q. Si elle touche sa Q, reculez.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Diana_0.jpg
Dr. Mundo,"P 60-15, Q 4, W 17-15, E 8-6, R 110-90",4,"Cette voie est assez facile, mais elle peut être ennuyeuse. Esquivez toutes ses Q. Son passif annule votre Q3 ainsi que votre R, alors essayez de vous en débarrasser avant de l'ult et assurez-vous de marcher sur la capsule qui se détache lorsque vous le faites. Vous n'avez plus besoin de vous précipiter sur le bourreau parce que vous endommagez mieux son sustain. Ne vous cachez pas derrière les minions qui sont sur le point de mourir ; il les E et vous prendrez beaucoup de dégâts.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/DrMundo_0.jpg
Ekko,"Q 9-7, W 22-14, E 9-7, R 110-50",3,"Cette voie est assez facile. Il va toujours sortir de votre Q3 et faire un trade massif sur vous. Il est très mobile, alors essayez de le prendre au dépourvu quand il va faire un cs. Faites toujours attention à son ombre ult et à son W ou vous mourrez. Soyez toujours attentif au signal audio.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ekko_0.jpg
Fiora,"Q 13-6, W 24-16, E 11-7, R 110-70",8,"Cette voie est assez difficile, mais elle est facilement gagnable si vous jouez mieux. Ne lui faites jamais de Q3 ou elle vous parera et vous mourrez. Faites attention aux vitaux. Vous pouvez sortir de sa vision pour en obtenir une nouvelle si nécessaire. Rush Executioner's Calling en début de partie pour limiter ses soins. Vous pouvez appâter sa parade en effectuant un Q3 dans une direction différente de celle où elle se trouve. Cherchez à la combattre lorsque sa parade est désactivée, sinon vous ne pourrez pas la combattre.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiora_0.jpg
Fizz,"Q 8-6, W 7-5, E 16-8, R 100-70",6,"Ce matchup est assez équilibré. Gardez votre E pour esquiver son E. Le manteau de nullité magique précoce est bon, similaire au matchup Annie afin qu'il ne puisse jamais vous mettre 100 à 0. Conservez votre W pour bloquer une grande partie de son burst trade lorsqu'il vous envoie des Qs. Il peut annuler l'animation de son Ult avec son Q, alors soyez-en conscient. Utilisez votre E pour esquiver son shark également.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fizz_0.jpg
Galio,"P 5, Q 12-10, W 18-16, E 12-8, R 200-160",3,"Cette voie est très ennuyeuse. Galio ne peut jamais vous tuer à moins d'être aidé. Ses dégâts sont tout simplement trop faibles. La partie la plus ennuyeuse de cette voie est sa configuration folle de gank, donc soyez très prudent si vous vous étendez trop et faites de votre mieux pour jouer autour de la vision. Ping mia quand il décide de roamer après vous avoir poussé sous la tour. Vous pouvez annuler son W avec votre E si vous le faites correctement.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Galio_0.jpg
Gangplank,"P 15, Q 4.5, W 22-14, E 18-14, R 180-140",7,"Un bon GP est un cauchemar pour n'importe qui. Son poke q est oppressant, surtout après qu'il ait acheté Sheen. Ne le laissez pas proc grasp gratuitement, jouez la sécurité jusqu'à zerks et vamp scepter et vous devriez être en mesure de prendre le lane assez facilement. Cependant, une fois que vous avez Shieldbow, vous pouvez le mettre à la poubelle. Faites très attention à ses barils, car ils font des dégâts massifs et vous ralentissent pendant un moment. Si vous montez pour CS, synchronisez votre W avec son Q pour éviter les dégâts de poke.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Gangplank_0.jpg
Garen,"P 8, Q 8, W 23-15, E 9, R 120-80",7,"Ce matchup est incroyablement ennuyeux à cause de son sustain et de son W. Ils prennent généralement l'ignite et essaient de vous avoir. Lorsque vous vous engagez sur lui, il va probablement utiliser son W. Si cela se produit, il suffit de E back et d'attendre pour échanger avec lui. Essayez toujours de revenir en arrière quand il va vous Q ou vous perdrez les échanges de manière très importante. Farm jusqu'à Shiedlbow et vous aurez plus de facilité à le combattre.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Garen_0.jpg
Gnar,"Q 20-10, E 22-12, R 90-30",4,"Ce matchup est assez facile, à condition d'esquiver ses Qs. Ne le combattez que lorsqu'il est en mini-gnar car il est beaucoup plus petit et a moins de HP. Ne vous positionnez jamais près d'un mur s'il est en Mega Gnar car il vous E et Ult dans le mur et vous chainera et vous mourrez. Vous pouvez amortir son Mega Gnar W ou Ult avec votre E ou votre propre Ult. Ne jamais Q3 dans lui quand il est en Mega Gnar ou il va juste vous W et full combo vous.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Gnar_0.jpg
Graves,"Q 12-8, W 26-18, E 16-12, R 120-60",5,"Ce matchup est assez équilibré. Il cherchera juste à vous pousser en 24/7, donc jouez juste à l'échelle et pour le farm. Faites de votre mieux pour ne pas interagir avec lui ; il fait beaucoup de dégâts et a beaucoup de burst ainsi que de waveclear. Ne vous alignez pas près d'un mur ou son Q vous touchera à 100%. Assurez-vous de suivre ses piles de E.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Graves_0.jpg
Gwen,"Q 6.5-3.5, W 22-14, E 13-9, R 120-80",3,"Ce matchup est assez facile pour Yone. Gwen est aussi un champion à échelle, donc la voie n'est pas trop difficile. Yone est très mobile, vous pouvez donc facilement esquiver sa Q et sortir de son Ult en toute sécurité. Gardez à l'esprit que vos R et Q3 ne la toucheront pas si vous êtes en dehors de sa W. Respectez son niveau 1 car elle est incroyablement forte avec le nouveau Lethal Tempo.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Gwen_0.jpg
Heimerdinger,"Q 20, W 11-7, E 12, R 100-70",6,"Ne vous battez pas contre lui s'il a beaucoup de tourelles, car il détruira la plupart de vos HP. Utilisez votre E pour esquiver son E. Faites attention en utilisant Q3 sur lui car il peut et va vous E et vous mourrez. Il est fort probable qu'il vous pousse sous la tour, alors jouez simplement pour faire du farm et du scale. Vous pouvez seulement aller sur lui quand il n'a pas beaucoup de tourelles vers le bas et son E est sur le cooldown.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Heimerdinger_0.jpg
Illaoi,"P 20-7.25, Q 10-6, W 4, E 16-12, R 120-70",5,"Ce matchup peut être très ennuyeux si vous ne pouvez pas esquiver ses Es. Faites de votre mieux pour juke avec votre propre E et la vitesse de mouvement que vous obtenez de celui-ci pour esquiver son E et ses tentacules. Après qu'elle ait atteint le niveau 6, désengagez-vous instantanément à moins que vous ne sachiez que vous pouvez la tuer. Elle est incroyablement forte au niveau 6. Elle ne fait pas vraiment grand chose si vous pouvez esquiver son Es cependant. Elle fait quand même beaucoup de dégâts. Vous ne pouvez gagner un all-in que si son Ult et son E sont à terre.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Illaoi_0.jpg
Irelia,"Q 11-7, W 20-12, E 18-12, R 140-100",10,"Ce matchup est un cauchemar absolu pour Yone. Peu importe si tu joues bien, ou si Irelia est mauvaise. Sa championne est juste meilleure. Joue pour survivre jusqu'à Shieldbow. Même alors, ce matchup est toujours très difficile. Si jamais elle se fige sur vous, vous ne pouvez pas jouer le jeu. Vous ne pouvez pas marcher, comme dans le match de Darius. Elle va juste vous écraser et vous tuer. C'est mon permaban personnel pour la voie supérieure. Faites de votre mieux pour esquiver son E avec votre E. Vous ne pourrez jamais la combattre si son passif est empilé ; vous perdrez toujours le trade/all-in.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Irelia_0.jpg
Jax,"Q 8-6, W 7-3, E 14-8, R 80",9,"Ce matchup est incroyablement difficile. Jouez juste pour des échanges courts contre lui. Gardez votre E pour quand il fait un Q sur vous et Es pour éviter le stun. Une fois que vous avez Shieldbow, la voie devient beaucoup plus facile. Vous ne gagnerez jamais un stat check contre lui, alors faites de votre mieux pour le kiter et ne le combattez que lorsque vous êtes dans votre E. Si vous faites un trade prolongé avec lui, vous perdrez toujours à cause de son passif, de ses dégâts mixtes et de son E.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Jax_0.jpg
Jayce,"Q 16-6, W 10, E 20-10, R 6",8,"Un bon Jayce est un cauchemar pour n'importe qui. Il cherchera à vous piquer dans et hors des buissons au niveau 1, alors ne prenez pas trop de dégâts gratuits. Cependant, si vous le prenez au dépourvu dans les buissons, vous pouvez l'affronter au niveau 1 et forcer son flash. Faites toujours attention à son combo QE. Surveillez les barres de HP des minions car il cherchera à vous surprendre avec. Faites de votre mieux pour farm et scale. Son ult cd est de 6 secondes, donc profitez de ce cooldown quand c'est possible. Il fait beaucoup de dégâts, alors faites de votre mieux pour esquiver ses capacités. Si vous tentez un all-in, faites-le lorsqu'il est en forme de canon. La forme marteau lui donne plus de résistances.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Jayce_0.jpg
Karma,"Q 9-5, W 12, E 10-8, R 40-34",5,"Ce matchup est assez facile. Elle ne vous tuera jamais à moins que vous ne soyez touché par tout. Son poke est très ennuyeux au début, mais avec le Bouclier de Doran et Second Vent, ce n'est pas un problème. Jouez juste pour farmer et progresser. Ne restez pas dans son Mantra W, elle va surcompenser vos dégâts et vous enraciner pour un moment.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Karma_0.jpg
Karthus,"Q 1, W 15, E .5, R 200-160",1,"Cette voie est probablement l'une des plus faciles. Rush zerks afin que vous puissiez esquiver ses Qs plus facilement et la voie est du gâteau. Il n'a pas de CC pour vous. Personne ne joue vraiment ce champion à moins qu'il ne s'agisse d'un one trick, donc vous ne l'affronterez pas souvent.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Karthus_0.jpg
Kassadin,"Q 11-9, W 7, E 5, R 5-2",4,"Ce matchup semble assez facile, mais un bon Kassadin peut rendre cette voie épuisante. Il fait beaucoup plus de dégâts que ce à quoi la plupart des gens s'attendent, surtout quand il prend electrocute. Votre spam Q l'aidera à utiliser davantage son E, alors soyez-en conscient. Faites de votre mieux pour vous espacer correctement afin qu'il ne puisse pas vous AA, W, Q. Au niveau 6, il est beaucoup plus fort. Cherchez à l'allumer quand il utilise son Ult.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Kassadin_0.jpg
Katarina,"Q11-7, W 15-11, E 14-8, R 90-45",4,"Cette voie est assez ennuyeuse car elle se contente de vagabonder. Ne restez pas sur ou près de ses dagues, ou elle cherchera à échanger avec vous. Vous la surpassez largement en termes de soutien. Il suffit de pinger ses roams car ils comptent sur cela pour se nourrir. Elle esquivera probablement votre Q3 et Ult avec son E, alors essayez de l'all-in quand elle ne l'a pas. Lorsque vous cherchez un échange, allez sur elle avec Q1 ou Q2 ; elle esquivera facilement votre Q3.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Katarina_0.jpg
Kayle,"Q 12-8, W 15, E 8-6, R 160-80",1,"Il n'y a pas de voie plus facile pour Yone. Ne la combattez pas au niveau 1 avec Lethal Tempo car elle est beaucoup plus forte avec. Vous pouvez l'allumer en permanence quand vous voulez jusqu'au niveau 6. Elle ne peut pas marcher vers la vague trop tôt, sinon elle se fera chunker. Au niveau 6, cela devient un peu plus difficile à cause de sa portée, mais il suffit d'obtenir des Q3 et de lui faire un all-in avec votre E. Si elle fait un ults, il suffit de faire un E en arrière et d'attendre que votre E se lève à nouveau et de lui faire un all-in à nouveau.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Kayle_0.jpg
Kennen,"Q 8-4, W 14-6, E 10-6, R 120",8,"Ce matchup est très ennuyeux au début. Il cherchera à vous poke vers le bas lorsque vous allez pour cs, alors ne prenez pas de dommages gratuits. Jouez en sécurité et jouez à l'échelle. Les échanges courts sont les plus efficaces dans ce matchup. Prenez un manteau tôt dans la partie, comme dans le match contre Annie et il ne pourra jamais vous mettre 100 à 0. Si contre Kennen mid, je prendrais exhaust car il contre son ult.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Kennen_0.jpg
Kled,"Q 11-7, W 14-8, E 13-9, R 160-120",7,"Faites de votre mieux pour esquiver ses Qs ou vous perdrez tous les échanges. N'essayez pas d'échanger avec lui lorsque son W est actif ; il fait beaucoup de dégâts. Si vous lui faites un Q3, il vous fera un Q et vous perdrez l'échange. Faites un all-in sur lui quand il n'est pas monté ; il est très immobile et ne pourra pas esquiver votre Q3 ou votre Ult.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Kled_0.jpg
Leblanc,"P 60, Q 6, W 18-10, E 14-11, R 60-30",9,"Ce matchup est incroyablement difficile. Non seulement elle vous fait chier en 1v1, mais elle a aussi un très bon setup de gank, tout comme Galio. Utilisez votre W quand elle vous lance Q. Essayez de geler la vague sur votre tour. Jouez ce matchup à l'échelle. Si vous êtes à égalité contre elle, vous avez déjà gagné. Ne lui faites jamais de Q3 car elle vous enchaînera doublement et vous mourrez.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Leblanc_0.jpg
Lissandra,"Q 8-4, W 14-10, E 24-12, R 120-80",3,"Cette voie est assez facile, mais vous ne pouvez jamais vraiment la tuer. Elle est trop sûre et s'en ira si vous essayez de la combattre. Elle a un incroyable setup de gank similaire à Galio et Leblanc. Je prendrais Cleanse dans ce matchup si vous n'êtes pas trop confiant. Optez pour des échanges courts avec elle. Chronométrez votre E pour son Ult.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Lissandra_0.jpg
Lucian,"Q 9-5, W 14-10, E 22-14, R 110-90",9,"Ce matchup est incroyablement ennuyeux. Concentre-toi sur ta survie. Vous ne pourrez jamais le combattre tant que vous n'aurez pas de zerks et de sceptres de vampires. Ne le laissez pas vous piquer gratuitement. Respectez son niveau 1. Ne l'attaquez pas avec Q3, il ne fera que E out et out trade. Au lieu de cela, E sur lui avec Q1 ou Q2, puis échangez avec lui. Ne vous alignez pas avec des minions car son Q fait beaucoup de dégâts.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Lucian_0.jpg
Lulu,"Q 7, W 17-13, E 8, R 120-80",3,"Ce matchup est facile, mais ennuyeux. Une fois que vous aurez le sceptre des vampires, vous pourrez supporter ses dégâts. Son W est très ennuyeux quel que soit l'état du jeu. Essayez toujours de revenir en arrière quand elle vous Ws afin que vous ne preniez pas de dommages gratuits. Rappelez-vous qu'elle a beaucoup de boucliers et son Ult de guérison. Ne vous laissez pas appâter lorsque vous essayez de lui faire un all-in.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Lulu_0.jpg
Lux,"Q 11, W 14-10, E 10-8, R 60-40",4,"Ce matchup est ennuyeux au début, mais il est encore assez facile. Essayez toujours d'esquiver son E et son Q ou vous vous ferez chunker. Ne lui faites jamais de Q3 ou elle vous fera un full combo. Ne le faites que si vous savez qu'elle a déjà utilisé E et/ou Q.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Lux_0.jpg
Malphite,"P 10-6, Q 8, W 12, E 7, R 130-80",6,"Un des tanks les plus ennuyeux à cause du ralentissement de la vitesse d'attaque de son E et de son armure en début de partie. Son poke précoce est très ennuyeux, donc faites de votre mieux pour W quand il Qs. Il ne devrait jamais être capable de vous tuer en 1v1, mais au niveau 6, faites attention à son Ult, surtout si son jungler est proche. Vous allez soit mourir, soit devoir faire un flash.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Malphite_0.jpg
Malzahar,"P 30-12, Q 6, W 8, E 15-7, R 140-80",2,"Ce matchup est très libre. Vous pouvez évoluer librement et il n'a pas de pression de mort sur vous jusqu'au niveau 6. Le seul point négatif de ce matchup est que vous êtes obligé d'acheter un QSS. Ne vous précipitez pas, achetez plutôt des zerks, puis un sceptre de vampire, et enfin un QSS dans Shieldbow. Vous pouvez pratiquement le tuer sur le cooldown car il est tellement immobile et sournois.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Malzahar_0.jpg
Maokai,"P 30-20, Q 8-5, W 13-9, E 10, R 120-80",3,"Probablement le matchup de tank le plus facile. La seule façon de mourir, c'est si vous vous étendez trop et qu'il prépare un gank sur vous. Restez loin des brosses et il ne vous fera rien. Vous pouvez casser son W et Ult avec un bon timing E ou Q3.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Maokai_0.jpg
Mordekaiser,"Q 9-4, W 12-8, E 18-10, R 140-100",4,"Ce matchup est assez facile si vous pouvez esquiver ses Qs. N'échangez jamais sans votre E car s'il reste sur vous, il vous tuera probablement, mais même dans ce cas, Lethal Tempo est tellement cassé en ce moment que cela n'a probablement aucune importance. Votre E peut annuler son ult avec un bon timing. Ne le combattez pas lorsque son bouclier W est actif. Attendez qu'il disparaisse, puis cherchez à vous réengager.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Mordekaiser_0.jpg
Nasus,"Q 7.5-3.5, W 15-11, E 12, R 120",3,"Gagnez cette voie en vous gelant à votre tour. Il est tellement immobile et incroyablement facile à ganker. Echangez avec lui quand il va chercher des piles, car c'est son seul moyen de faire des dégâts. Dès qu'il vous flétrit, désengagez-vous. Les ralentissements de la vitesse d'attaque et de la vitesse de déplacement sont oppressants. Vos échanges sont plus efficaces quand vous avez votre E à cause des vrais dégâts sur le proc de la marque. Au niveau 6, faites attention car c'est à ce moment qu'il est le plus fort. Il suffit de se désengager et de faire du kite quand il essaie de vous all-in.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Nasus_0.jpg
Neeko,"P 25-10, Q 7, W 20-16, E 12-10, R 90",5,"Ce matchup est très ennuyeux. Vous ne pouvez jamais faire de Q3 avec elle ou elle va juste vous E et vous faire un full combo. E de retour quand elle canalise son ult. Si vous êtes touché par son E, préparez-vous à perdre lane ou la plupart de vos HP. Utilisez votre ult après qu'elle utilise son W afin d'avoir une vision d'elle. Si vous la touchez lorsqu'elle utilise son W alors que vous êtes dans votre E, la marque E montrera la vraie neeko. Ne la laissez pas vous piquer gratuitement avec ses autos et sa W passive.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Neeko_0.jpg
Orianna,"Q 6-3, W 7, E 9, R 110-80",5,"Probablement le matchup le plus équilibré pour Yone. Son poke est très ennuyeux au début, mais elle est très immobile. Ne la laissez pas vous auto ou poke gratuitement et cette voie est beaucoup plus facile pour vous. Elle est assez résistante grâce à son E passif quand sa balle est sur elle. Cherchez un échange ou un all-in quand sa balle n'est pas sur elle ou quand elle utilise Q et/ou W. Vous commencez à gagner aux zerks et au vamp scepter.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Orianna_0.jpg
